Country,Rate
India,30
Nigeria,33
Pakistan,41
Finland,58
Sweden,60
Japan,62
Indonesia,62
Norway,72
Egypt,76
Germany,78
Netherlands,82
Switzerland,87
Ireland,89
South Korea,98
Austria,98
Italy,100
France,103
Belgium,108
Philippines,113
China,118
Canada,118
Greece,120
Hong Kong,126
Australia,133
Malaysia,133
Portugal,138
Iraq,139
Spain,144
United Kingdom,148
Argentina,149
Saudi Arabia,162
Algeria,162
Czech Republic,163
Venezuela,174
Brazil,193
Mexico,196
Turkey,198
Peru,221
Singapore,233
Poland,235
United Arab Emirates,238
Colombia,244
Israel,249
Chile,250
Iran,284
Kazakhstan,290
Denmark,301
South Africa,334
Thailand,435
Russia,615
United States,737
