quarterback,salary
Jay Cutler,17500000
Eli Manning,15150000
Peyton Manning,15000000
Sam Bradford,14015000
Philip Rivers,13800000
Ben Roethlisberger,12100000
Drew Brees,10750000
Matt Ryan,9500000
Carson Palmer,9000000
Joe Flacco,6000000
Matt Schaub,4500000
Matt Moore,4000000
Josh McCown,3750000
Cam Newton,3378477
Matt Cassel,2650000
Kyle Orton,2500000
Andrew Luck,2399818
Chase Daniel,2350000
Robert Griffin III,2309918
Jake Locker,2091273
Blaine Gabbert,2011587
Tom Brady,2000000
Matthew Stafford,2000000
Michael Vick,2000000
Christian Ponder,1760277
